threshold,false_alarm_rate_per_day,far_feasible
0.01,0.4874783612233122,False
0.02,0.3866589728793999,False
0.03,0.3091055972302366,False
0.04,0.27586843623773805,False
0.05,0.24207732256203118,False
0.06,0.21770340450086556,False
0.07,0.18889786497403346,True
0.08,0.16452394691286787,True
0.09,0.1484593190998269,True
0.1,0.13294864396999423,True
0.11,0.12020773225620313,True
0.12,0.11356030005770341,True
0.13,0.09915753029428737,True
0.14,0.09251009809578765,True
0.15,0.08530871321407964,True
0.16,0.08032313906520486,True
0.17,0.07256780150028852,True
0.18,0.07422965954991345,True
0.19,0.06979803808424698,True
0.2,0.06315060588574727,True
0.21,0.06093479515291402,True
0.22,0.05705712637045586,True
0.23,0.05040969417195615,True
0.24,0.04819388343912291,True
0.25,0.04265435660703982,True
0.26,0.0415464512406232,True
0.27,0.03877668782458165,True
0.28,0.03656087709174841,True
0.29,0.03102135025966532,True
0.3,0.028805539526832083,True
0.31,0.027143681477207155,True
0.32,0.027143681477207155,True
0.33,0.024927870744373918,True
0.34,0.02215810732833237,True
0.35,0.021050201961915753,True
0.36,0.019388343912290825,True
0.37,0.019388343912290825,True
0.38,0.018834391229082516,True
0.39,0.018280438545874206,True
0.4,0.01661858049624928,True
0.41,0.01551067512983266,True
0.42,0.01495672244662435,True
0.43,0.013848817080207732,True
0.44,0.012186959030582804,True
0.45,0.011079053664166186,True
0.46,0.011079053664166186,True
0.47,0.009971148297749567,True
0.48,0.009417195614541258,True
0.49,0.009417195614541258,True
0.5,0.009417195614541258,True
0.51,0.008863242931332949,True
0.52,0.00830929024812464,True
0.53,0.007201384881708021,True
0.54,0.0066474321984997115,True
0.55,0.006093479515291402,True
0.56,0.006093479515291402,True
0.57,0.005539526832083093,True
0.58,0.004985574148874784,True
0.59,0.004985574148874784,True
0.6,0.003877668782458165,True
0.61,0.0033237160992498557,True
0.62,0.0033237160992498557,True
0.63,0.003877668782458165,True
0.64,0.0033237160992498557,True
0.65,0.0033237160992498557,True
0.66,0.0033237160992498557,True
0.67,0.0033237160992498557,True
0.68,0.0033237160992498557,True
0.69,0.0033237160992498557,True
0.7,0.0033237160992498557,True
0.71,0.0033237160992498557,True
0.72,0.003877668782458165,True
0.73,0.003877668782458165,True
0.74,0.003877668782458165,True
0.75,0.003877668782458165,True
0.76,0.0033237160992498557,True
0.77,0.0033237160992498557,True
0.78,0.0033237160992498557,True
0.79,0.0033237160992498557,True
0.8,0.0027697634160415464,True
0.81,0.002215810732833237,True
0.82,0.0016618580496249279,True
0.83,0.0011079053664166186,True
0.84,0.0005539526832083093,True
0.85,0.0005539526832083093,True
0.86,0.0005539526832083093,True
0.87,0.0005539526832083093,True
0.88,0.0005539526832083093,True
0.89,0.0005539526832083093,True
0.9,0.0005539526832083093,True
0.91,0.0,True
0.92,0.0,True
0.93,0.0,True
0.94,0.0,True
0.95,0.0,True
0.96,0.0,True
0.97,0.0,True
0.98,0.0,True
0.99,0.0,True
