threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.22727272727272727,0.32592253036901214,False
0.02,0.3409090909090909,0.34655053862021545,False
0.03,0.3409090909090909,0.3094201237680495,False
0.04,0.4090909090909091,0.27641531056612423,False
0.05,0.38636363636363635,0.22965849186339676,False
0.06,0.38636363636363635,0.20077928031171213,False
0.07,0.4090909090909091,0.1925280770112308,True
0.08,0.4772727272727273,0.1650240660096264,True
0.09,0.5,0.1430208572083429,True
0.1,0.5,0.11826724730689893,True
0.11,0.5227272727272727,0.1031400412560165,True
0.12,0.5227272727272727,0.0962640385056154,True
0.13,0.5227272727272727,0.09351363740545497,True
0.14,0.5227272727272727,0.08938803575521431,True
0.15,0.5454545454545454,0.07701123080449232,True
0.16,0.5454545454545454,0.07151042860417145,True
0.17,0.5454545454545454,0.06050882420352968,True
0.18,0.5909090909090909,0.05363282145312859,True
0.19,0.5454545454545454,0.0481320192528077,True
0.2,0.5227272727272727,0.0481320192528077,True
0.21,0.5227272727272727,0.0481320192528077,True
0.22,0.45454545454545453,0.044006417602567044,True
0.23,0.5,0.039880815952326384,True
0.24,0.45454545454545453,0.03850561540224616,True
0.25,0.4318181818181818,0.0343800137520055,True
0.26,0.4090909090909091,0.031629612651845065,True
0.27,0.4090909090909091,0.027504011001604402,True
0.28,0.4090909090909091,0.023378409351363743,True
0.29,0.4090909090909091,0.023378409351363743,True
0.3,0.38636363636363635,0.017877607151042862,True
0.31,0.38636363636363635,0.01512720605088242,True
0.32,0.4090909090909091,0.013752005500802201,True
0.33,0.36363636363636365,0.013752005500802201,True
0.34,0.3181818181818182,0.013752005500802201,True
0.35,0.2727272727272727,0.011001604400641761,True
0.36,0.29545454545454547,0.006876002750401101,True
0.37,0.29545454545454547,0.006876002750401101,True
0.38,0.2727272727272727,0.0055008022003208805,True
0.39,0.20454545454545456,0.0055008022003208805,True
0.4,0.20454545454545456,0.0055008022003208805,True
0.41,0.20454545454545456,0.0055008022003208805,True
0.42,0.20454545454545456,0.0055008022003208805,True
0.43,0.18181818181818182,0.0055008022003208805,True
0.44,0.18181818181818182,0.00412560165024066,True
0.45,0.18181818181818182,0.00412560165024066,True
0.46,0.18181818181818182,0.00412560165024066,True
0.47,0.18181818181818182,0.0027504011001604402,True
0.48,0.20454545454545456,0.0013752005500802201,True
0.49,0.20454545454545456,0.0013752005500802201,True
0.5,0.20454545454545456,0.0027504011001604402,True
0.51,0.20454545454545456,0.0027504011001604402,True
0.52,0.1590909090909091,0.0013752005500802201,True
0.53,0.1590909090909091,0.0013752005500802201,True
0.54,0.1590909090909091,0.0,True
0.55,0.1590909090909091,0.0,True
0.56,0.11363636363636363,0.0,True
0.57,0.11363636363636363,0.0,True
0.58,0.11363636363636363,0.0,True
0.59,0.11363636363636363,0.0,True
0.6,0.11363636363636363,0.0,True
0.61,0.11363636363636363,0.0,True
0.62,0.13636363636363635,0.0,True
0.63,0.13636363636363635,0.0,True
0.64,0.11363636363636363,0.0,True
0.65,0.11363636363636363,0.0,True
0.66,0.11363636363636363,0.0,True
0.67,0.11363636363636363,0.0,True
0.68,0.11363636363636363,0.0,True
0.69,0.11363636363636363,0.0,True
0.7,0.11363636363636363,0.0,True
0.71,0.11363636363636363,0.0,True
0.72,0.11363636363636363,0.0,True
0.73,0.11363636363636363,0.0,True
0.74,0.09090909090909091,0.0,True
0.75,0.09090909090909091,0.0,True
0.76,0.09090909090909091,0.0,True
0.77,0.09090909090909091,0.0,True
0.78,0.09090909090909091,0.0,True
0.79,0.045454545454545456,0.0,True
0.8,0.022727272727272728,0.0,True
0.81,0.022727272727272728,0.0,True
0.82,0.022727272727272728,0.0,True
0.83,0.022727272727272728,0.0,True
0.84,0.022727272727272728,0.0,True
0.85,0.022727272727272728,0.0,True
0.86,0.022727272727272728,0.0,True
0.87,0.022727272727272728,0.0,True
0.88,0.0,0.0,True
0.89,0.0,0.0,True
0.9,0.0,0.0,True
0.91,0.0,0.0,True
0.92,0.0,0.0,True
0.93,0.0,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
