threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.4375,0.4981615466729925,False
0.02,0.5625,0.41560906179575374,False
0.03,0.5625,0.3729095006523544,False
0.04,0.75,0.31597675246115525,False
0.05,0.6875,0.2590440042699561,False
0.06,0.75,0.23627090499347644,False
0.07,0.8125,0.20495789348831692,False
0.08,0.75,0.199264618669197,True
0.09,0.75,0.16795160716403748,True
0.1,0.75,0.15087178270667773,True
0.11,0.75,0.13094532083975802,True
0.12,0.75,0.13094532083975802,True
0.13,0.625,0.1252520460206381,True
0.14,0.625,0.1195587712015182,True
0.15,0.625,0.10247894674415846,True
0.16,0.625,0.09678567192503855,True
0.17,0.5625,0.09393903451547858,True
0.18,0.5,0.09109239710591863,True
0.19,0.5,0.08255248487723876,True
0.2,0.5,0.07401257264855889,True
0.21,0.5,0.07401257264855889,True
0.22,0.5,0.056932748191199145,True
0.23,0.4375,0.054086110781639184,True
0.24,0.4375,0.054086110781639184,True
0.25,0.4375,0.04269956114339936,True
0.26,0.4375,0.0398529237338394,True
0.27,0.4375,0.028466374095599573,True
0.28,0.4375,0.025619736686039615,True
0.29,0.4375,0.025619736686039615,True
0.3,0.4375,0.025619736686039615,True
0.31,0.4375,0.0199264618669197,True
0.32,0.4375,0.011386549638239828,True
0.33,0.4375,0.005693274819119914,True
0.34,0.5,0.002846637409559957,True
0.35,0.5,0.002846637409559957,True
0.36,0.5,0.002846637409559957,True
0.37,0.5,0.002846637409559957,True
0.38,0.5,0.002846637409559957,True
0.39,0.4375,0.002846637409559957,True
0.4,0.375,0.0,True
0.41,0.3125,0.0,True
0.42,0.3125,0.0,True
0.43,0.3125,0.0,True
0.44,0.3125,0.0,True
0.45,0.3125,0.0,True
0.46,0.3125,0.0,True
0.47,0.3125,0.0,True
0.48,0.1875,0.0,True
0.49,0.1875,0.002846637409559957,True
0.5,0.1875,0.002846637409559957,True
0.51,0.1875,0.002846637409559957,True
0.52,0.125,0.002846637409559957,True
0.53,0.125,0.005693274819119914,True
0.54,0.125,0.005693274819119914,True
0.55,0.125,0.002846637409559957,True
0.56,0.125,0.002846637409559957,True
0.57,0.125,0.002846637409559957,True
0.58,0.125,0.0,True
0.59,0.125,0.0,True
0.6,0.125,0.0,True
0.61,0.125,0.0,True
0.62,0.125,0.0,True
0.63,0.125,0.0,True
0.64,0.125,0.0,True
0.65,0.125,0.0,True
0.66,0.125,0.0,True
0.67,0.125,0.0,True
0.68,0.125,0.0,True
0.69,0.125,0.0,True
0.7,0.125,0.0,True
0.71,0.125,0.0,True
0.72,0.125,0.0,True
0.73,0.125,0.0,True
0.74,0.125,0.0,True
0.75,0.0625,0.0,True
0.76,0.0625,0.0,True
0.77,0.0625,0.0,True
0.78,0.0625,0.0,True
0.79,0.0625,0.0,True
0.8,0.0625,0.0,True
0.81,0.0625,0.0,True
0.82,0.0,0.0,True
0.83,0.0,0.0,True
0.84,0.0,0.0,True
0.85,0.0,0.0,True
0.86,0.0,0.0,True
0.87,0.0,0.0,True
0.88,0.0,0.0,True
0.89,0.0,0.0,True
0.9,0.0,0.0,True
0.91,0.0,0.0,True
0.92,0.0,0.0,True
0.93,0.0,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
