threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.1875,0.4782350848060728,False
0.02,0.4375,0.4981615466729925,False
0.03,0.5,0.4810817222156328,False
0.04,0.5625,0.42130233661487365,False
0.05,0.5625,0.3928359625192741,False
0.06,0.5625,0.3472897639663148,False
0.07,0.6875,0.34159648914719487,False
0.08,0.75,0.31313011505159527,False
0.09,0.75,0.29320365318467556,False
0.1,0.6875,0.267583916498636,False
0.11,0.6875,0.23627090499347644,False
0.12,0.75,0.22488435535523663,False
0.13,0.75,0.21634444312655673,False
0.14,0.8125,0.20211125607875696,False
0.15,0.75,0.20780453089787687,False
0.16,0.75,0.1736448819831574,True
0.17,0.75,0.14802514529711777,True
0.18,0.6875,0.14517850788755782,True
0.19,0.75,0.133791958249318,True
0.2,0.75,0.13663859565887795,True
0.21,0.75,0.13663859565887795,True
0.22,0.625,0.1394852330684379,True
0.23,0.625,0.12240540861107815,True
0.24,0.625,0.10532558415371841,True
0.25,0.625,0.0996323093345985,True
0.26,0.625,0.09678567192503855,True
0.27,0.5625,0.10532558415371841,True
0.28,0.5,0.10532558415371841,True
0.29,0.5,0.09393903451547858,True
0.3,0.5,0.08539912228679872,True
0.31,0.5,0.07685921005811884,True
0.32,0.5,0.06831929782943898,True
0.33,0.5,0.0597793856007591,True
0.34,0.5,0.056932748191199145,True
0.35,0.4375,0.056932748191199145,True
0.36,0.4375,0.054086110781639184,True
0.37,0.4375,0.04554619855295931,True
0.38,0.4375,0.04269956114339936,True
0.39,0.4375,0.03700628632427944,True
0.4,0.4375,0.03415964891471949,True
0.41,0.4375,0.028466374095599573,True
0.42,0.4375,0.025619736686039615,True
0.43,0.4375,0.017079824457359744,True
0.44,0.4375,0.017079824457359744,True
0.45,0.4375,0.017079824457359744,True
0.46,0.4375,0.014233187047799786,True
0.47,0.5,0.011386549638239828,True
0.48,0.4375,0.008539912228679872,True
0.49,0.4375,0.002846637409559957,True
0.5,0.4375,0.002846637409559957,True
0.51,0.4375,0.0,True
0.52,0.4375,0.0,True
0.53,0.4375,0.0,True
0.54,0.4375,0.0,True
0.55,0.375,0.002846637409559957,True
0.56,0.375,0.002846637409559957,True
0.57,0.375,0.002846637409559957,True
0.58,0.3125,0.0,True
0.59,0.25,0.0,True
0.6,0.1875,0.0,True
0.61,0.1875,0.0,True
0.62,0.1875,0.0,True
0.63,0.1875,0.002846637409559957,True
0.64,0.1875,0.002846637409559957,True
0.65,0.1875,0.005693274819119914,True
0.66,0.1875,0.005693274819119914,True
0.67,0.125,0.005693274819119914,True
0.68,0.125,0.002846637409559957,True
0.69,0.125,0.002846637409559957,True
0.7,0.125,0.002846637409559957,True
0.71,0.125,0.002846637409559957,True
0.72,0.125,0.002846637409559957,True
0.73,0.125,0.0,True
0.74,0.125,0.0,True
0.75,0.125,0.0,True
0.76,0.125,0.0,True
0.77,0.125,0.0,True
0.78,0.125,0.0,True
0.79,0.125,0.0,True
0.8,0.125,0.0,True
0.81,0.125,0.0,True
0.82,0.0625,0.0,True
0.83,0.0625,0.0,True
0.84,0.0625,0.0,True
0.85,0.0625,0.0,True
0.86,0.0625,0.0,True
0.87,0.0,0.0,True
0.88,0.0,0.0,True
0.89,0.0,0.0,True
0.9,0.0,0.0,True
0.91,0.0,0.0,True
0.92,0.0,0.0,True
0.93,0.0,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
