threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.0,0.011001604400641761,True
0.02,0.022727272727272728,0.02612881045152418,True
0.03,0.022727272727272728,0.15952326380930554,True
0.04,0.09090909090909091,0.3162961265184506,False
0.05,0.11363636363636363,0.41118496447398584,False
0.06,0.1590909090909091,0.43043777217510887,False
0.07,0.20454545454545456,0.4428145771258309,False
0.08,0.20454545454545456,0.45519138207655285,False
0.09,0.25,0.4634425853770342,False
0.1,0.25,0.48819619527847813,False
0.11,0.25,0.47994499197799684,False
0.12,0.2727272727272727,0.44831537932615173,False
0.13,0.3181818181818182,0.43731377492551,False
0.14,0.3409090909090909,0.4084345633738254,False
0.15,0.3409090909090909,0.3891817556727023,False
0.16,0.36363636363636365,0.3974329589731836,False
0.17,0.36363636363636365,0.4043089617235847,False
0.18,0.36363636363636365,0.40018336007334404,False
0.19,0.36363636363636365,0.4029337611735045,False
0.2,0.36363636363636365,0.40155856062342427,False
0.21,0.36363636363636365,0.40155856062342427,False
0.22,0.36363636363636365,0.39468255787302314,False
0.23,0.36363636363636365,0.3905569562227825,False
0.24,0.36363636363636365,0.3891817556727023,False
0.25,0.38636363636363635,0.38643135457254185,False
0.26,0.38636363636363635,0.3905569562227825,False
0.27,0.38636363636363635,0.3823057529223012,False
0.28,0.38636363636363635,0.36580334632133854,False
0.29,0.38636363636363635,0.36167774467109787,False
0.3,0.38636363636363635,0.3589273435709375,False
0.31,0.4090909090909091,0.3300481320192528,False
0.32,0.4318181818181818,0.3204217281686913,False
0.33,0.4318181818181818,0.3162961265184506,False
0.34,0.4318181818181818,0.30391932156772866,False
0.35,0.45454545454545453,0.2901673160669264,False
0.36,0.4772727272727273,0.2791657116662847,False
0.37,0.4772727272727273,0.26266330506532204,False
0.38,0.4772727272727273,0.25716250286500114,False
0.39,0.4772727272727273,0.23515929406371763,False
0.4,0.4772727272727273,0.2337840935136374,False
0.41,0.45454545454545453,0.2255328902131561,False
0.42,0.4772727272727273,0.218656887462755,False
0.43,0.5227272727272727,0.20903048361219345,False
0.44,0.5454545454545454,0.21040568416227368,False
0.45,0.5227272727272727,0.1966536786614715,True
0.46,0.5454545454545454,0.18702727481090994,True
0.47,0.5454545454545454,0.17602567041026818,True
0.48,0.5454545454545454,0.16227366490946596,True
0.49,0.5681818181818182,0.15402246160898464,True
0.5,0.5454545454545454,0.14164565665826268,True
0.51,0.5454545454545454,0.13614485445794178,True
0.52,0.5227272727272727,0.13201925280770113,True
0.53,0.5681818181818182,0.12376804950721981,True
0.54,0.5681818181818182,0.11414164565665827,True
0.55,0.5681818181818182,0.1031400412560165,True
0.56,0.5909090909090909,0.10451524180609673,True
0.57,0.5681818181818182,0.10451524180609673,True
0.58,0.5681818181818182,0.10038964015585607,True
0.59,0.5681818181818182,0.0962640385056154,True
0.6,0.5454545454545454,0.09213843685537475,True
0.61,0.5454545454545454,0.08526243410497365,True
0.62,0.5681818181818182,0.08113683245473298,True
0.63,0.5227272727272727,0.07701123080449232,True
0.64,0.5227272727272727,0.07426082970433188,True
0.65,0.5454545454545454,0.06600962640385057,True
0.66,0.5909090909090909,0.061884024753609906,True
0.67,0.5909090909090909,0.05363282145312859,True
0.68,0.5909090909090909,0.05363282145312859,True
0.69,0.6136363636363636,0.03850561540224616,True
0.7,0.6136363636363636,0.03025441210176484,True
0.71,0.6136363636363636,0.027504011001604402,True
0.72,0.6363636363636364,0.023378409351363743,True
0.73,0.5227272727272727,0.02475360990144396,True
0.74,0.5,0.022003208801283522,True
0.75,0.4772727272727273,0.022003208801283522,True
0.76,0.5,0.01650240660096264,True
0.77,0.4772727272727273,0.01650240660096264,True
0.78,0.45454545454545453,0.00962640385056154,True
0.79,0.4318181818181818,0.0055008022003208805,True
0.8,0.45454545454545453,0.006876002750401101,True
0.81,0.4318181818181818,0.0055008022003208805,True
0.82,0.4318181818181818,0.0027504011001604402,True
0.83,0.3409090909090909,0.0027504011001604402,True
0.84,0.29545454545454547,0.0027504011001604402,True
0.85,0.29545454545454547,0.0013752005500802201,True
0.86,0.25,0.0027504011001604402,True
0.87,0.22727272727272727,0.00412560165024066,True
0.88,0.20454545454545456,0.0027504011001604402,True
0.89,0.1590909090909091,0.0027504011001604402,True
0.9,0.13636363636363635,0.0027504011001604402,True
0.91,0.11363636363636363,0.0027504011001604402,True
0.92,0.09090909090909091,0.0013752005500802201,True
0.93,0.06818181818181818,0.0,True
0.94,0.06818181818181818,0.0,True
0.95,0.045454545454545456,0.0,True
0.96,0.022727272727272728,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
