experiment,threshold,event_recall,false_alarm_rate_per_day,pr_auc,operationally_feasible
none,0.09,0.5227272727272727,0.1911528764611506,0.46850385712363,True
class_weight_1,0.09,0.5227272727272727,0.1911528764611506,0.46850385712363,True
class_weight_3,0.01,0.022727272727272728,0.14577125830850332,0.4717633228381469,True
class_weight_5,0.01,0.0,0.022003208801283522,0.467818859421412,True
class_weight_10,0.01,0.0,0.011001604400641761,0.463424852050329,True
class_weight_20,0.01,0.0,0.011001604400641761,0.44980929053194413,True
class_weight_50,0.01,0.0,0.011001604400641761,0.43920526254062664,True
undersample_10_to_1,0.14,0.5227272727272727,0.18840247536099014,0.4689048280762732,True
undersample_5_to_1,0.01,0.022727272727272728,0.06600962640385057,0.4704481754160043,True
undersample_2_to_1,0.01,0.0,0.011001604400641761,0.4663322696091573,True
smote_k3,0.01,0.0,0.011001604400641761,0.4431803971924724,True
smote_k5,0.01,0.0,0.011001604400641761,0.4516587213229567,True
smote_k7,0.01,0.0,0.011001604400641761,0.44982082501240683,True
borderline_smote_k3,0.01,0.0,0.011001604400641761,0.4267651479489586,True
borderline_smote_k5,0.01,0.0,0.01237680495072198,0.4301218495009349,True
borderline_smote_k7,0.01,0.0,0.011001604400641761,0.429129598796083,True
smote_enn,0.01,0.0,0.011001604400641761,0.45884902072242983,True
