threshold,event_recall,false_alarm_rate_per_day,far_feasible
0.01,0.25,1.4147787925512987,False
0.02,0.4375,1.124421776776183,False
0.03,0.5,0.9137706084687462,False
0.04,0.5625,0.7486656387142687,False
0.05,0.5625,0.6376467797414304,False
0.06,0.6875,0.5664808445024315,False
0.07,0.6875,0.5095480963112323,False
0.08,0.6875,0.4526153481200332,False
0.09,0.6875,0.4042225121575139,False
0.1,0.6875,0.3757561380619143,False
0.11,0.6875,0.3501364013758747,False
0.12,0.6875,0.30174356541335545,False
0.13,0.6875,0.267583916498636,False
0.14,0.6875,0.26189064167951603,False
0.15,0.6875,0.2505040920412762,False
0.16,0.6875,0.23057763017435653,False
0.17,0.6875,0.199264618669197,True
0.18,0.6875,0.18787806903095716,True
0.19,0.75,0.1736448819831574,True
0.2,0.75,0.15371842011623768,True
0.21,0.6875,0.15656505752579764,True
0.22,0.6875,0.14517850788755782,True
0.23,0.6875,0.133791958249318,True
0.24,0.6875,0.1252520460206381,True
0.25,0.625,0.11386549638239829,True
0.26,0.625,0.10532558415371841,True
0.27,0.625,0.10532558415371841,True
0.28,0.625,0.10247894674415846,True
0.29,0.625,0.08824575969635867,True
0.3,0.5625,0.08255248487723876,True
0.31,0.5625,0.0797058474676788,True
0.32,0.5625,0.08539912228679872,True
0.33,0.5625,0.0797058474676788,True
0.34,0.4375,0.07401257264855889,True
0.35,0.4375,0.06831929782943898,True
0.36,0.4375,0.06547266041987901,True
0.37,0.4375,0.056932748191199145,True
0.38,0.4375,0.048392835962519275,True
0.39,0.4375,0.04554619855295931,True
0.4,0.4375,0.04269956114339936,True
0.41,0.4375,0.0398529237338394,True
0.42,0.4375,0.03700628632427944,True
0.43,0.5,0.03131301150515953,True
0.44,0.5,0.025619736686039615,True
0.45,0.5,0.0199264618669197,True
0.46,0.5,0.017079824457359744,True
0.47,0.5,0.017079824457359744,True
0.48,0.5,0.014233187047799786,True
0.49,0.5,0.014233187047799786,True
0.5,0.5,0.011386549638239828,True
0.51,0.5,0.011386549638239828,True
0.52,0.5,0.011386549638239828,True
0.53,0.5,0.008539912228679872,True
0.54,0.5,0.008539912228679872,True
0.55,0.5,0.008539912228679872,True
0.56,0.4375,0.008539912228679872,True
0.57,0.4375,0.005693274819119914,True
0.58,0.4375,0.005693274819119914,True
0.59,0.4375,0.005693274819119914,True
0.6,0.4375,0.002846637409559957,True
0.61,0.4375,0.002846637409559957,True
0.62,0.4375,0.002846637409559957,True
0.63,0.375,0.002846637409559957,True
0.64,0.375,0.005693274819119914,True
0.65,0.375,0.005693274819119914,True
0.66,0.375,0.005693274819119914,True
0.67,0.375,0.005693274819119914,True
0.68,0.3125,0.005693274819119914,True
0.69,0.25,0.002846637409559957,True
0.7,0.25,0.002846637409559957,True
0.71,0.1875,0.002846637409559957,True
0.72,0.1875,0.002846637409559957,True
0.73,0.1875,0.002846637409559957,True
0.74,0.1875,0.002846637409559957,True
0.75,0.1875,0.002846637409559957,True
0.76,0.1875,0.002846637409559957,True
0.77,0.125,0.002846637409559957,True
0.78,0.125,0.002846637409559957,True
0.79,0.125,0.002846637409559957,True
0.8,0.125,0.002846637409559957,True
0.81,0.125,0.0,True
0.82,0.125,0.0,True
0.83,0.125,0.0,True
0.84,0.125,0.0,True
0.85,0.125,0.0,True
0.86,0.125,0.0,True
0.87,0.125,0.0,True
0.88,0.125,0.0,True
0.89,0.125,0.0,True
0.9,0.0625,0.0,True
0.91,0.0625,0.0,True
0.92,0.0625,0.0,True
0.93,0.0625,0.0,True
0.94,0.0,0.0,True
0.95,0.0,0.0,True
0.96,0.0,0.0,True
0.97,0.0,0.0,True
0.98,0.0,0.0,True
0.99,0.0,0.0,True
