config_id,family,threshold,event_recall,false_alarm_rate_per_day,pr_auc,operationally_feasible
extratrees_n100_d10,extratrees,0.09,0.5227272727272727,0.1911528764611506,0.46850385712363,True
extratrees_n100_d20,extratrees,0.11,0.5681818181818182,0.18840247536099014,0.4889201048309462,True
extratrees_n100_dnone,extratrees,0.19,0.6818181818181818,0.18565207426082972,0.4671724510660207,True
extratrees_n200_d10,extratrees,0.09,0.5454545454545454,0.18152647261058905,0.47164794233616597,True
extratrees_n200_d20,extratrees,0.11,0.5681818181818182,0.18702727481090994,0.4909714669132577,True
extratrees_n200_dnone,extratrees,0.18,0.6363636363636364,0.1966536786614715,0.47148832153457904,True
extratrees_n500_d10,extratrees,0.09,0.5227272727272727,0.18977767591107036,0.47383096059297347,True
extratrees_n500_d20,extratrees,0.11,0.5909090909090909,0.18702727481090994,0.49497783801159484,True
extratrees_n500_dnone,extratrees,0.17,0.6363636363636364,0.19390327756131104,0.4763594022642944,True
lightgbm_lr0.01_leaves31,lightgbm,0.01,0.0,0.011001604400641761,0.4744277058714624,True
lightgbm_lr0.01_leaves63,lightgbm,0.01,0.0,0.011001604400641761,0.47873706460988924,True
lightgbm_lr0.01_leaves127,lightgbm,0.01,0.0,0.011001604400641761,0.48180020377060917,True
lightgbm_lr0.05_leaves31,lightgbm,0.1,0.5681818181818182,0.1966536786614715,0.4808605907108817,True
lightgbm_lr0.05_leaves63,lightgbm,0.12,0.5909090909090909,0.18565207426082972,0.4833817733171371,True
lightgbm_lr0.05_leaves127,lightgbm,0.12,0.6590909090909091,0.19527847811139126,0.4725283135357624,True
lightgbm_lr0.1_leaves31,lightgbm,0.15,0.6136363636363636,0.19390327756131104,0.478920869494794,True
lightgbm_lr0.1_leaves63,lightgbm,0.14,0.5909090909090909,0.1994040797616319,0.4679875043408629,True
lightgbm_lr0.1_leaves127,lightgbm,0.16,0.7272727272727273,0.1994040797616319,0.4640483527355402,True
xgboost_lr0.01_d3,xgboost,0.01,0.0,0.011001604400641761,0.4527801839479524,True
xgboost_lr0.01_d6,xgboost,0.01,0.0,0.011001604400641761,0.4760567832176015,True
xgboost_lr0.01_d9,xgboost,0.01,0.0,0.011001604400641761,0.470473451397355,True
xgboost_lr0.05_d3,xgboost,0.1,0.5681818181818182,0.18977767591107036,0.4826533346790379,True
xgboost_lr0.05_d6,xgboost,0.11,0.5909090909090909,0.1966536786614715,0.4780564133609743,True
xgboost_lr0.05_d9,xgboost,0.13,0.6136363636363636,0.19802887921155168,0.4694407536975685,True
xgboost_lr0.1_d3,xgboost,0.1,0.5681818181818182,0.1994040797616319,0.48992950472459684,True
xgboost_lr0.1_d6,xgboost,0.12,0.6363636363636364,0.19527847811139126,0.48373946793214506,True
xgboost_lr0.1_d9,xgboost,0.14,0.6590909090909091,0.19802887921155168,0.46783926533494863,True
