fold,threshold,event_recall,false_alarm_rate_per_day,n_events,n_detected_events,n_alert_episodes,n_false_alarm_episodes,valid_exposure_hours,far_feasible,in_stability_region
walk_forward_1,0.01,0.3333333333333333,0.7554179566563467,15,5,555,549,17442,False,False
walk_forward_2,0.01,0.5625,0.728739176847349,16,9,265,256,8431,False,False
walk_forward_1,0.02,0.5333333333333333,0.5132438940488476,15,8,381,373,17442,False,False
walk_forward_2,0.02,0.6875,0.6063337682362708,16,11,226,213,8431,False,False
walk_forward_1,0.03,0.6,0.3783969728242174,15,9,284,275,17442,False,False
walk_forward_2,0.03,0.75,0.5152413711303523,16,12,195,181,8431,False,False
walk_forward_1,0.04,0.6666666666666666,0.3151014791881665,15,10,239,229,17442,False,False
walk_forward_2,0.04,0.6875,0.44692207330091327,16,11,171,157,8431,False,False
walk_forward_1,0.05,0.7333333333333333,0.26006191950464397,15,11,200,189,17442,False,False
walk_forward_2,0.05,0.6875,0.3842960502905942,16,11,149,135,8431,False,False
walk_forward_1,0.06,0.7333333333333333,0.21878224974200206,15,11,171,159,17442,False,False
walk_forward_2,0.06,0.6875,0.3444431265567548,16,11,135,121,8431,False,False
walk_forward_1,0.07,0.7333333333333333,0.18988648090815274,15,11,150,138,17442,True,True
walk_forward_2,0.07,0.6875,0.32736330209939507,16,11,129,115,8431,False,False
walk_forward_1,0.08,0.6666666666666666,0.1802545579635363,15,10,141,131,17442,True,True
walk_forward_2,0.08,0.6875,0.30459020282291543,16,11,119,107,8431,False,False
walk_forward_1,0.09,0.6,0.1568627450980392,15,9,123,114,17442,True,True
walk_forward_2,0.09,0.6875,0.29035701577511563,16,11,114,102,8431,False,False
walk_forward_1,0.1,0.6666666666666666,0.14447884416924664,15,10,115,105,17442,True,False
walk_forward_2,0.1,0.6875,0.2704305539081959,16,11,107,95,8431,False,False
walk_forward_1,0.11,0.6666666666666666,0.12934296525627795,15,10,104,94,17442,True,False
walk_forward_2,0.11,0.6875,0.26189064167951603,16,11,104,92,8431,False,False
walk_forward_1,0.12,0.6666666666666666,0.12796697626418987,15,10,103,93,17442,True,False
walk_forward_2,0.12,0.6875,0.2533507294508362,16,11,101,89,8431,False,False
walk_forward_1,0.13,0.6666666666666666,0.1197110423116615,15,10,97,87,17442,True,False
walk_forward_2,0.13,0.75,0.2334242675839165,16,12,94,82,8431,False,False
walk_forward_1,0.14,0.6666666666666666,0.10457516339869281,15,10,86,76,17442,True,False
walk_forward_2,0.14,0.75,0.21349780571699678,16,12,87,75,8431,False,False
walk_forward_1,0.15,0.6,0.10182318541451668,15,9,83,74,17442,True,False
walk_forward_2,0.15,0.75,0.20495789348831692,16,12,84,72,8431,False,False
walk_forward_1,0.16,0.6,0.0935672514619883,15,9,77,68,17442,True,False
walk_forward_2,0.16,0.75,0.1935713438500771,16,12,80,68,8431,True,True
walk_forward_1,0.17,0.6,0.08531131750945993,15,9,71,62,17442,True,False
walk_forward_2,0.17,0.75,0.18787806903095716,16,12,78,66,8431,True,True
walk_forward_1,0.18,0.4666666666666667,0.08118335053319574,15,7,66,59,17442,True,False
walk_forward_2,0.18,0.75,0.1850314316213972,16,12,77,65,8431,True,True
walk_forward_1,0.19,0.4,0.07705538355693155,15,6,62,56,17442,True,False
walk_forward_2,0.19,0.625,0.16795160716403748,16,10,69,59,8431,True,True
walk_forward_1,0.2,0.4,0.07430340557275542,15,6,60,54,17442,True,False
walk_forward_2,0.2,0.625,0.15656505752579764,16,10,65,55,8431,True,True
walk_forward_1,0.21,0.4,0.06604747162022703,15,6,54,48,17442,True,False
