threshold,event_recall,false_alarm_rate_per_day,n_events,n_detected_events,n_alert_episodes,n_false_alarm_episodes,valid_exposure_hours,far_feasible,in_stability_region
0.01,0.45161290322580644,0.7467243844934873,31,14,820,805,25873,False,False
0.02,0.6129032258064516,0.5435782475940169,31,19,607,586,25873,False,False
0.03,0.6774193548387096,0.42298921655780153,31,21,479,456,25873,False,False
0.04,0.6774193548387096,0.3580566613844548,31,21,410,386,25873,False,False
0.05,0.7096774193548387,0.30054496965949057,31,22,349,324,25873,False,False
0.06,0.7096774193548387,0.2597302206933869,31,22,306,280,25873,False,False
0.07,0.7096774193548387,0.23468480655509602,31,22,279,253,25873,False,False
0.08,0.6774193548387096,0.22077068758937887,31,21,260,238,25873,False,False
0.09,0.6451612903225806,0.20036331310632705,31,20,237,216,25873,False,False
0.1,0.6774193548387096,0.18552158620956208,31,21,222,200,25873,True,True
0.11,0.6774193548387096,0.17253507517489272,31,21,208,186,25873,True,True
0.12,0.6774193548387096,0.1688246434507015,31,21,204,182,25873,True,True
0.13,0.7096774193548387,0.15676574034707996,31,22,191,169,25873,True,True
0.14,0.7096774193548387,0.14006879758821936,31,22,173,151,25873,True,False
0.15,0.6774193548387096,0.13543075793298032,31,21,167,146,25873,True,False
0.16,0.6774193548387096,0.1261546786225022,31,21,157,136,25873,True,False
0.17,0.6774193548387096,0.11873381517411973,31,21,149,128,25873,True,False
0.18,0.6129032258064516,0.11502338344992849,31,19,143,124,25873,True,False
0.19,0.5161290322580645,0.1066749120704982,31,16,131,115,25873,True,False
0.2,0.5161290322580645,0.10110926448421133,31,16,125,109,25873,True,False
0.21,0.5483870967741935,0.09183318517373323,31,17,116,99,25873,True,False
0.22,0.5483870967741935,0.0890503613805898,31,17,114,96,25873,True,False
0.23,0.5483870967741935,0.08348471379430293,31,17,108,90,25873,True,False
0.24,0.5806451612903226,0.08255710586325513,31,18,109,89,25873,True,False
0.25,0.5806451612903226,0.07791906620801607,31,18,103,84,25873,True,False
0.26,0.5806451612903226,0.06864298689753796,31,18,94,74,25873,True,False
0.27,0.5806451612903226,0.06493255517334673,31,18,90,70,25873,True,False
0.28,0.5806451612903226,0.060294515518107675,31,18,85,65,25873,True,False
0.29,0.5483870967741935,0.057511691724964245,31,17,81,62,25873,True,False
0.3,0.5483870967741935,0.053801260000773,31,17,77,58,25873,True,False
0.31,0.5161290322580645,0.05194604413867738,31,16,74,56,25873,True,False
0.32,0.5161290322580645,0.05009082827658176,31,16,72,54,25873,True,False
0.33,0.5161290322580645,0.04823561241448614,31,16,71,52,25873,True,False
0.34,0.5161290322580645,0.04545278862134271,31,16,68,49,25873,True,False
0.35,0.5161290322580645,0.04266996482819928,31,16,64,46,25873,True,False
0.36,0.5161290322580645,0.038031925172960224,31,16,59,41,25873,True,False
0.37,0.5161290322580645,0.03710431724191242,31,16,58,40,25873,True,False
0.38,0.5161290322580645,0.036176709310864606,31,16,57,39,25873,True,False
0.39,0.5161290322580645,0.032466277586673364,31,16,53,35,25873,True,False
0.4,0.5161290322580645,0.030611061724577743,31,16,51,33,25873,True,False
0.41,0.5161290322580645,0.028755845862482123,31,16,49,31,25873,True,False
0.42,0.5161290322580645,0.02782823793143431,31,16,48,30,25873,True,False
0.43,0.5161290322580645,0.0269006300003865,31,16,46,29,25873,True,False
0.44,0.5161290322580645,0.02411780620724307,31,16,43,26,25873,True,False
0.45,0.5161290322580645,0.02133498241409964,31,16,40,23,25873,True,False
0.46,0.5161290322580645,0.019479766552004018,31,16,38,21,25873,True,False
0.47,0.5161290322580645,0.015769334827812776,31,16,33,17,25873,True,False
0.48,0.5161290322580645,0.015769334827812776,31,16,33,17,25873,True,False
0.49,0.5483870967741935,0.015769334827812776,31,17,34,17,25873,True,False
0.5,0.5161290322580645,0.014841726896764966,31,16,32,16,25873,True,False
0.51,0.5161290322580645,0.014841726896764966,31,16,32,16,25873,True,False
0.52,0.4838709677419355,0.013914118965717155,31,15,30,15,25873,True,False
0.53,0.4838709677419355,0.012058903103621534,31,15,28,13,25873,True,False
0.54,0.4838709677419355,0.011131295172573726,31,15,27,12,25873,True,False
0.55,0.4838709677419355,0.011131295172573726,31,15,27,12,25873,True,False
0.56,0.4838709677419355,0.011131295172573726,31,15,27,12,25873,True,False
0.57,0.4838709677419355,0.009276079310478105,31,15,25,10,25873,True,False
0.58,0.45161290322580644,0.009276079310478105,31,14,24,10,25873,True,False
0.59,0.45161290322580644,0.008348471379430294,31,14,23,9,25873,True,False
0.6,0.45161290322580644,0.008348471379430294,31,14,23,9,25873,True,False
0.61,0.45161290322580644,0.007420863448382483,31,14,22,8,25873,True,False
0.62,0.45161290322580644,0.006493255517334672,31,14,21,7,25873,True,False
0.63,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.64,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.65,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.66,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.67,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.68,0.41935483870967744,0.005565647586286863,31,13,19,6,25873,True,False
0.69,0.41935483870967744,0.004638039655239052,31,13,18,5,25873,True,False
0.7,0.41935483870967744,0.004638039655239052,31,13,18,5,25873,True,False
0.71,0.41935483870967744,0.004638039655239052,31,13,18,5,25873,True,False
0.72,0.3870967741935484,0.004638039655239052,31,12,17,5,25873,True,False
0.73,0.3870967741935484,0.004638039655239052,31,12,17,5,25873,True,False
0.74,0.3548387096774194,0.004638039655239052,31,11,16,5,25873,True,False
0.75,0.3225806451612903,0.0037104317241912414,31,10,14,4,25873,True,False
0.76,0.2903225806451613,0.0037104317241912414,31,9,13,4,25873,True,False
0.77,0.25806451612903225,0.0037104317241912414,31,8,12,4,25873,True,False
0.78,0.25806451612903225,0.0027828237931434314,31,8,11,3,25873,True,False
0.79,0.22580645161290322,0.0018552158620956207,31,7,9,2,25873,True,False
0.8,0.22580645161290322,0.0018552158620956207,31,7,9,2,25873,True,False
0.81,0.1935483870967742,0.0018552158620956207,31,6,8,2,25873,True,False
0.82,0.1935483870967742,0.0018552158620956207,31,6,8,2,25873,True,False
0.83,0.16129032258064516,0.0018552158620956207,31,5,7,2,25873,True,False
0.84,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.85,0.12903225806451613,0.0018552158620956207,31,4,7,2,25873,True,False
0.86,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
0.87,0.12903225806451613,0.0018552158620956207,31,4,6,2,25873,True,False
